feddback_id,metric,joints,range,feedback_text,prompt,,,,,,,,,,
straight_body,joint_angle_threshold,"SHOULDER,HIP,ANKLE",160>x>200,Keep your body straight,,,,,,,,,,,
shoulder_over_ankle,joint_vertical_angle,"SHOULDER,ANKLE",5>x>-5,Try not to lean your body,,,,,,,,,,,
shoulder_over_hips,joint_vertical_angle,"SHOULDER,HIP",20>x>-20,Keep your upper body straight,,,,,,,,,,,
elbow_tucked_in_front,joint_angle_threshold,"ELBOW,SHOULDER,HIP",45>x>0,Keep your elbow closer,,,,,,,,,,,
elbow_straight_in_front,joint_angle_threshold,"ELBOW,SHOULDER,HIP",120>x>80,Keep your elbow straight in front,,,,,,,,,,,
arms_straight,joint_angle_threshold,"SHOULDER,ELBOW,WRIST",190>x>170,Keep your arms straight,,,,,,,,,,,
slight_knee_bend,joint_angle_threshold,"HIP,KNEE,ANKLE",185>X>150,Only keep a slight bend in your knee,,,,,,,,,,,
legs_in_front,joint_angle_threshold,"SHOULDER,HIP,ANKLE",0>x>190,Keep your legs in front,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,M,,,,,,,,,,,,,
